"";"x"
"54";"2022_tabela-dezembro.xlsm"
"55";"2021-01-boletim.pdf"
"56";"202102boletim.pdf"
"57";"2021-03-boletim-pdf.pdf"
"58";"2021-04-boletim.pdf"
"59";"2021-05-boletim.pdf"
"60";"202106-boletim.pdf"
"61";"2021-07-boletim.pdf"
"62";"2021-08-boletim.pdf"
"63";"2021-09-boletim.pdf"
"64";"2021-10-boletim.pdf"
"65";"2021_11_boletim.pdf"
"66";"2021_12-2021-boletim.pdf"
"67";"2021-01-boletim.xlsm"
"68";"202102boletim.xlsm"
"69";"2021-03-boletim-atual.xlsm"
"70";"2021-04-boletim.xlsm"
"71";"2021-05-boletim.xlsm"
"72";"2021-06-boletim.xlsm"
"73";"2021-07-boletim.xlsm"
"74";"2021-08-boletim.xlsm"
"75";"2021-09-boletim.xlsm"
"76";"2021-10-boletim.xlsm"
"77";"2021_boletim-novembro-2021-tabelas_final.xlsm"
"78";"2021-12-boletim.xlsm"
"79";"2020-01-boletim.pdf"
"80";"2020-02-boletim.pdf"
"81";"2020-03-boletim.pdf"
"82";"2020-04-boletim.pdf"
"83";"2020-05-boletim.pdf"
"84";"2020-06-boletim.pdf"
"85";"2020-07-boletim.pdf"
"86";"2020-08-boletim.pdf"
"87";"2020-09-boletim.pdf"
"88";"2020_boletim-petroleo-e-gn-outubro-2020.pdf"
"89";"2020-11-boletim.pdf"
"90";"2020_boletim-12-2020.pdf"
"91";"2020-01-boletim-tabelas.xlsm"
"92";"2020-02-boletim.xlsm"
"93";"2020-03-boletim.xlsm"
"94";"2020-04-boletim.xlsm"
"95";"2020-05-boletim.xlsm"
"96";"2020-06-boletim.pdf"
"97";"2020-07-boletim.xlsm"
"98";"2020-08-boletim.xlsm"
"99";"2020-09-boletim.xlsm"
"100";"2020_boletim-petroleo-e-gn-outubro-2020-tabelas.xlsm"
"101";"2020-11-boletim.xlsm"
"102";"2020-12-boletim.xlsm"
"103";"2019-01-boletim.pdf"
"104";"2019-02-boletim.pdf"
"105";"2019-03-boletim.pdf"
"106";"2019-04-boletim.pdf"
"107";"2019-05-boletim.pdf"
"108";"2019-06-boletim.pdf"
"109";"2019-07-boletim.pdf"
"110";"2019-08-boletim.pdf"
"111";"2019-09-boletim.pdf"
"112";"2019-10-boletim.pdf"
"113";"2019-11-boletim.pdf"
"114";"2019-12-boletim.pdf"
"115";"2019-01-boletim-tabelas.xlsm"
"116";"2019-02-boletim-tabelas.xlsm"
"117";"2019-03-boletim-tabelas.xlsm"
"118";"2019-04-boletim-tabelas.xlsm"
"119";"2019-05-boletim-tabelas.xlsm"
"120";"2019-06-boletim-tabelas.xlsm"
"121";"2019-07-boletim-tabelas.xlsm"
"122";"2019-08-boletim-tabelas.xlsm"
"123";"2019-09-boletim-tabelas.xlsm"
"124";"2019-10-boletim-tabelas.xlsm"
"125";"2019-11-boletim-tabelas.xlsm"
"126";"2019-12-boletim-tabelas.xlsm"
"127";"2018-01-boletim.pdf"
"128";"2018-02-boletim.pdf"
"129";"2018-03-boletim.pdf"
"130";"2018-04-boletim.pdf"
"131";"2018-05-boletim.pdf"
"132";"2018-06-boletim.pdf"
"133";"2018-07-boletim.pdf"
"134";"2018-08-boletim.pdf"
"135";"2018-09-boletim.pdf"
"136";"2018-10-boletim.pdf"
"137";"2018-11-boletim.pdf"
"138";"2018-12-boletim.pdf"
"139";"2018-01-boletim-tabelas.xlsm"
"140";"2018-02-boletim-tabelas.xlsm"
"141";"2018-03-boletim-tabelas.xlsm"
"142";"2018-04-boletim-tabelas.xlsm"
"143";"2018-05-boletim-tabelas.xlsm"
"144";"2018-06-boletim-tabelas.xlsm"
"145";"2018-07-boletim-tabelas.xlsm"
"146";"2018-08-boletim-tabelas.xlsm"
"147";"2018-09-boletim-tabelas.xlsm"
"148";"2018-10-boletim-tabelas.xlsm"
"149";"2018-11-boletim-tabelas.xlsm"
"150";"2018-12-boletim-tabelas.xlsm"
"151";"2017-01-boletim.pdf"
"152";"2017-02-boletim.pdf"
"153";"2017-03-boletim.pdf"
"154";"2017-04-boletim.pdf"
"155";"2017-05-boletim.pdf"
"156";"2017-06-boletim.pdf"
"157";"2017-07-boletim.pdf"
"158";"2017-08-boletim.pdf"
"159";"2017-09-boletim.pdf"
"160";"2017-10-boletim.pdf"
"161";"2017-11-boletim.pdf"
"162";"2017-12-boletim.pdf"
"163";"2017-10-boletim-tabelas.xlsm"
"164";"2017-11-boletim-tabelas.xlsm"
"165";"2017-12-boletim-tabelas.xlsm"
"166";"2016-01-boletim.pdf"
"167";"2016-02-boletim.pdf"
"168";"2016-03-boletim.pdf"
"169";"2016-04-boletim.pdf"
"170";"2016-05-boletim.pdf"
"171";"2016-06-boletim.pdf"
"172";"2016-07-boletim.pdf"
"173";"2016-08-boletim.pdf"
"174";"2016-09-boletim.pdf"
"175";"2016-10-boletim.pdf"
"176";"2016-11-boletim.pdf"
"177";"2016-12-boletim.pdf"
"178";"2015-01-boletim.pdf"
"179";"2015-02-boletim.pdf"
"180";"2015-03-boletim.pdf"
"181";"2015-04-boletim.pdf"
"182";"2015-05-boletim.pdf"
"183";"2015-06-boletim.pdf"
"184";"2015-07-boletim.pdf"
"185";"2015-08-boletim.pdf"
"186";"2015-09-boletim.pdf"
"187";"2015-10-boletim.pdf"
"188";"2015-11-boletim.pdf"
"189";"2015-12-boletim.pdf"
"190";"2014-01-boletim.pdf"
"191";"2014-02-boletim.pdf"
"192";"2014-03-boletim.pdf"
"193";"2014-04-boletim.pdf"
"194";"2014-05-boletim.pdf"
"195";"2014-06-boletim.pdf"
"196";"2014-07-boletim.pdf"
"197";"2014-08-boletim.pdf"
"198";"2014-09-boletim.pdf"
"199";"2014-10-boletim.pdf"
"200";"2014-11-boletim.pdf"
"201";"2014-12-boletim.pdf"
"202";"2013-01-boletim.pdf"
"203";"2013-02-boletim.pdf"
"204";"2013-03-boletim.pdf"
"205";"2013-04-boletim.pdf"
"206";"2013-05-boletim.pdf"
"207";"2013-06-boletim.pdf"
"208";"2013-07-boletim.pdf"
"209";"2013-08-boletim.pdf"
"210";"2013-09-boletim.pdf"
"211";"2013-10-boletim.pdf"
"212";"2013-11-boletim.pdf"
"213";"2013-12-boletim.pdf"
"214";"2012-01-boletim.pdf"
"215";"2012-02-boletim.pdf"
"216";"2012-03-boletim.pdf"
"217";"2012-04-boletim.pdf"
"218";"2012-05-boletim.pdf"
"219";"2012-06-boletim.pdf"
"220";"2012-07-boletim.pdf"
"221";"2012-08-boletim.pdf"
"222";"2012-09-boletim.pdf"
"223";"2012-10-boletim.pdf"
"224";"2012-11-boletim.pdf"
"225";"2012-12-boletim.pdf"
"226";"2011-01-boletim.pdf"
"227";"2011-02-boletim.pdf"
"228";"2011-03-boletim.pdf"
"229";"2011-04-boletim.pdf"
"230";"2011-05-boletim.pdf"
"231";"2011-06-boletim.pdf"
"232";"2011-07-boletim.pdf"
"233";"2011-08-boletim.pdf"
"234";"2011-09-boletim.pdf"
"235";"2011-10-boletim.pdf"
"236";"2011-11-boletim.pdf"
"237";"2011-12-boletim.pdf"
"238";"2010-09-boletim.pdf"
"239";"2010-10-boletim.pdf"
"240";"2010-11-boletim.pdf"
"241";"2010-12-boletim.pdf"
"242";"2020-06-boletim.xlsm"
